,date,iso3166-2,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
12319,2020-09-28,DE-MV,81.843547,5282275.502591,2417279.239333,12.467643000000066,0.000157,12.709539999999999,2.436884
12320,2020-09-28,DE-NI,85.81732199999999,1625919.106822,2404102.402412,11.881278000000009,0.00035800000000000003,8.457156,2.140968
12321,2020-09-28,DE-NW,83.625337,528162.4176180001,2374824.588573,11.00540600000005,0.0008300000000000001,9.758395,2.3248330000000004
12322,2020-09-28,DE-RP,84.030433,2669849.04646,2336633.588159,9.784419000000014,0.0010550000000000002,10.798888999999999,2.0914189999999997
12323,2020-09-28,DE-SH,90.45643199999999,1096501.7061969999,2418695.954982,12.796337999999992,0.00024900000000000004,4.928508,2.430196
12324,2020-09-28,DE-SL,90.65414200000001,2338748.152514,2338932.8274459997,9.05506200000002,0.002143,8.820652,2.070641
12325,2020-09-28,DE-SN,77.519851,6541278.156409,2344719.735357,10.518796000000009,0.000741,14.005942000000001,1.9996990000000001
12326,2020-09-28,DE-ST,73.903314,7434941.655296001,2392536.92203,12.236087999999995,0.000124,14.414491,1.784182
12327,2020-09-28,DE-TH,76.593851,8058764.160324001,2325155.941603,10.083097000000066,0.0001,15.839201000000001,2.0367349999999997
12366,2020-09-29,DE-BB,78.558677,4294715.242845,2420108.0048330002,12.954766000000063,0.00018600000000000002,10.199598,1.36827
12367,2020-09-29,DE-BE,73.363578,4107723.2552449997,2424951.687063,14.003233000000023,0.000105,12.391608,1.489918
12368,2020-09-29,DE-BW,89.80478000000001,141725.013813,2307776.480471,10.04146000000003,0.0030510000000000003,8.241276,2.58025
12369,2020-09-29,DE-BY,88.11072800000001,2373890.193606,2290889.3630049997,9.69609900000006,0.0014990000000000001,12.234832,2.1554439999999997
12370,2020-09-29,DE-HB,86.46148199999999,3964493.7820510003,2433033.477564,12.832272000000046,0.000426,11.833333,2.565759
12371,2020-09-29,DE-HE,90.75721999999999,798553.886492,2353536.019266,10.514714000000026,0.001167,6.916264999999999,2.171648
12372,2020-09-29,DE-HH,78.060793,8290028.9621210005,2429263.587121,13.322599000000025,0.000175,14.856060999999999,2.087595
12373,2020-09-29,DE-MV,80.752241,6027015.674032,2429128.097607,12.557774000000052,2e-06,12.365437,1.42325
12374,2020-09-29,DE-NI,85.150543,4735393.236808,2417012.862939,12.014892000000032,0.001509,11.398769,2.141264
12375,2020-09-29,DE-NW,90.204392,1695587.656044,2388103.423935,11.544317000000035,0.002841,8.60018,2.1702790000000003
12376,2020-09-29,DE-RP,92.878924,516250.17950900004,2350117.3908169996,11.277143000000024,0.0010630000000000001,7.003966999999999,2.228582
12377,2020-09-29,DE-SH,80.638047,6017646.756619,2431509.068253,13.40484200000003,0.000317,11.526810000000001,2.4830240000000003
12378,2020-09-29,DE-SL,95.292198,436654.175038,2352888.1569290003,11.471173000000022,0.002053,8.100543,2.769146
12379,2020-09-29,DE-SN,81.725143,2628030.646222,2355272.904711,11.460279000000014,0.000654,10.890492,2.039111
12380,2020-09-29,DE-ST,75.233663,6750210.498989,2404494.330085,12.265987999999993,6e-06,15.18573,1.508284
12381,2020-09-29,DE-TH,81.288566,5196423.678699,2337572.18078,10.56824800000004,0.000202,14.775452,2.260211
12420,2020-09-30,DE-BB,83.069312,5729803.883285,2418552.12704,12.362662999999998,1.2e-05,12.980668,1.253825
12421,2020-09-30,DE-BE,79.55029,5918614.527972,2423279.8986009997,13.425376000000028,2e-06,14.496503,1.386859
